CMPLNT_NUM,CMPLNT_FR_DT,LOC_OF_OCCUR_DESC,BORO_NM,ADDR_PCT_CD,LAT,LONG
255442126,2016-09-30,INSIDE,MANHATTAN,9.0,40.720450333,-73.97491448
365143806,2016-09-29,OUTSIDE,BROOKLYN,68.0,40.638667594,-74.022463404
655600478,2016-09-28,INSIDE,QUEENS,104.0,40.708227855,-73.912862387
154313364,2016-09-28,INSIDE,BROOKLYN,79.0,40.693140904,-73.945859731
225854780,2016-09-27,OUTSIDE,BRONX,46.0,40.852381909,-73.913515771
876831902,2016-09-27,INSIDE,QUEENS,112.0,40.732876229,-73.860333942
491704785,2016-09-27,INSIDE,BROOKLYN,75.0,40.672585871,-73.873261458
280911425,2016-09-27,INSIDE,BROOKLYN,67.0,40.662518015,-73.927011804
815982084,2016-09-26,INSIDE,BROOKLYN,70.0,40.641068098,-73.962469806
716295246,2016-09-24,INSIDE,QUEENS,113.0,40.693702669,-73.780915483
823118598,2016-09-23,OUTSIDE,MANHATTAN,32.0,40.819718657,-73.942389497
947099254,2016-09-21,OUTSIDE,BROOKLYN,73.0,40.671168243,-73.909688025
348472185,2016-09-20,INSIDE,BRONX,49.0,40.855961786,-73.839795807
655321407,2016-09-20,OUTSIDE,BRONX,45.0,40.830798914,-73.826948796
244130734,2016-09-19,OUTSIDE,BROOKLYN,79.0,40.686395734,-73.949095931
537297598,1983-05-26,OUTSIDE,BRONX,46.0,40.848887095,-73.916144462
581799571,2016-09-13,OUTSIDE,BROOKLYN,75.0,40.672674098,-73.861689307
472901018,2016-09-13,OUTSIDE,BROOKLYN,73.0,40.657743089,-73.909136741
968745906,2016-09-10,OUTSIDE,QUEENS,105.0,40.726529377,-73.734864538
287799057,2016-09-10,OUTSIDE,QUEENS,113.0,40.675309538,-73.788052771
195725720,2016-09-07,OUTSIDE,BROOKLYN,70.0,40.653674996,-73.96278707
606643981,2016-09-06,OUTSIDE,BROOKLYN,73.0,40.673324484,-73.91539184
867991552,2016-09-06,OUTSIDE,BROOKLYN,94.0,40.719840334,-73.962400198
176390104,2016-09-05,INSIDE,MANHATTAN,30.0,40.82294535,-73.95198314
450481172,2016-09-05,OUTSIDE,BROOKLYN,71.0,40.663341242,-73.96017925
820150191,2016-09-05,OUTSIDE,BROOKLYN,71.0,40.663133397,-73.962432161
731348418,2016-09-04,OUTSIDE,BROOKLYN,69.0,40.640366106,-73.890520884
103549775,2016-09-03,OUTSIDE,QUEENS,103.0,40.70284629,-73.812428901
710005308,2016-09-03,OUTSIDE,MANHATTAN,32.0,40.832941761,-73.935432593
537717425,2016-09-03,INSIDE,BROOKLYN,77.0,40.675646399,-73.927184904
569099491,2016-09-03,INSIDE,BROOKLYN,77.0,40.675646399,-73.927184904
297776679,2016-09-02,INSIDE,BROOKLYN,63.0,40.628089722,-73.946103435
555667023,2016-09-01,OUTSIDE,BROOKLYN,77.0,40.674986972,-73.945849231
706785934,2016-09-01,OUTSIDE,BROOKLYN,63.0,40.615912856,-73.920737805
502405404,2016-08-31,OUTSIDE,QUEENS,107.0,40.710739715,-73.803872427
192086696,2016-08-17,OUTSIDE,BRONX,44.0,40.836266064,-73.911328663
858875867,2016-08-29,OUTSIDE,BROOKLYN,66.0,40.639163716,-73.994427347
129929404,2016-08-28,OUTSIDE,BROOKLYN,77.0,40.673341037,-73.932083027
254596936,2016-08-28,OUTSIDE,BROOKLYN,88.0,40.69726035,-73.977462042
636737908,2016-08-28,OUTSIDE,BROOKLYN,69.0,40.643506043,-73.902615955
457338431,2016-08-08,OUTSIDE,BRONX,40.0,40.805182009,-73.9186305
309770069,2016-08-22,OUTSIDE,BROOKLYN,63.0,40.629597831,-73.942942693
144793046,2016-08-21,INSIDE,BROOKLYN,60.0,40.595792272,-73.984064191
210153730,2016-08-20,OUTSIDE,MANHATTAN,32.0,40.819778814,-73.936720733
380497652,2016-08-19,INSIDE,QUEENS,102.0,40.689567811,-73.832478977
505586798,2016-08-19,INSIDE,BRONX,46.0,40.84711223,-73.91747681
784240669,2016-08-16,OUTSIDE,BROOKLYN,67.0,40.659114761,-73.923216654
572103563,2016-08-16,OUTSIDE,BROOKLYN,77.0,40.67459999,-73.930574822
902306434,2016-08-14,OUTSIDE,BRONX,40.0,40.819596981,-73.918186548
893735103,2016-08-14,INSIDE,QUEENS,102.0,40.689819067,-73.831612927
563298222,2016-08-14,OUTSIDE,BROOKLYN,67.0,40.640790702,-73.932141379
738902033,2016-08-13,OUTSIDE,QUEENS,106.0,40.67941151,-73.858592765
394208809,2016-08-13,OUTSIDE,QUEENS,106.0,40.67941151,-73.858592765
723042510,2016-08-12,OUTSIDE,BROOKLYN,83.0,40.690654842,-73.908042562
620798194,2016-08-11,INSIDE,BRONX,41.0,40.818407371,-73.887507503
359266063,2016-08-10,OUTSIDE,BROOKLYN,73.0,40.674993193,-73.915234704
585404251,2016-08-09,INSIDE,BRONX,52.0,40.869301715,-73.889511247
937961772,2016-08-07,OUTSIDE,BROOKLYN,71.0,40.660436625,-73.939773355
365517887,2016-08-07,OUTSIDE,BROOKLYN,73.0,40.674063439,-73.912535702
342236156,2016-08-04,OUTSIDE,BROOKLYN,75.0,40.668403867,-73.869286157
168091918,2016-08-04,OUTSIDE,BROOKLYN,63.0,40.623960368,-73.938282477
913308831,2016-08-04,OUTSIDE,STATEN ISLAND,120.0,40.64173826,-74.075678037
536706418,2016-08-03,OUTSIDE,BROOKLYN,70.0,40.649091472,-73.955776823
233954179,2016-08-03,OUTSIDE,BRONX,45.0,40.836843178,-73.850809958
207086103,2016-08-02,OUTSIDE,QUEENS,106.0,40.65381516,-73.853205037
487645165,2016-08-02,INSIDE,BRONX,48.0,40.842328579,-73.885739479
976835006,2016-08-02,OUTSIDE,BROOKLYN,81.0,40.68469984,-73.924744826
538984342,2016-08-01,INSIDE,QUEENS,107.0,40.736984449,-73.809998125
253242501,2016-07-30,INSIDE,QUEENS,108.0,40.738838819,-73.926700862
998987999,2016-07-30,OUTSIDE,BROOKLYN,81.0,40.681803475,-73.923789039
686060098,2016-07-22,OUTSIDE,QUEENS,109.0,40.750294976,-73.822805246
530157663,1987-05-01,OUTSIDE,BROOKLYN,79.0,40.694566924,-73.943244108
327275225,2016-07-27,OUTSIDE,QUEENS,109.0,40.764463103,-73.831774379
780252243,2016-07-25,OUTSIDE,QUEENS,103.0,40.692389705,-73.793764553
234157224,2016-07-25,OUTSIDE,BRONX,46.0,40.845984791,-73.907462791
794309734,2016-07-25,OUTSIDE,BRONX,46.0,40.845984791,-73.907462791
136522818,2016-07-25,INSIDE,BRONX,47.0,40.870142434,-73.869305409
572756542,2016-07-24,INSIDE,BROOKLYN,70.0,40.652000822,-73.963231279
667759098,2016-07-23,OUTSIDE,BRONX,44.0,40.831578538,-73.927697229
932841135,2016-07-15,OUTSIDE,BROOKLYN,73.0,40.67013835,-73.908925194
807640487,2016-07-15,OUTSIDE,BROOKLYN,73.0,40.67013835,-73.908925194
966100748,2016-07-22,INSIDE,BROOKLYN,68.0,40.618091468,-74.027852316
344002864,2016-07-21,INSIDE,BRONX,44.0,40.839739531,-73.913178032
767409636,2016-07-21,INSIDE,BROOKLYN,88.0,40.695140908,-73.975125947
466267917,2016-07-20,OUTSIDE,BROOKLYN,79.0,40.689111202,-73.945058895
